Playlist,Playlist Slug,City,Track Count,CSV File,URI List File,M3U8 File
Savannah Soundtrack,savannah,"Savannah, Georgia",10,csv/52-savannah-soundtrack.csv,spotify-uri-lists/52-savannah-soundtrack.txt,m3u8/52-savannah-soundtrack.m3u8
Seattle Soundtrack,seattle,"Seattle, Washington",10,csv/53-seattle-soundtrack.csv,spotify-uri-lists/53-seattle-soundtrack.txt,m3u8/53-seattle-soundtrack.m3u8
Shreveport Soundtrack,shreveport,"Shreveport, Louisiana",10,csv/54-shreveport-soundtrack.csv,spotify-uri-lists/54-shreveport-soundtrack.txt,m3u8/54-shreveport-soundtrack.m3u8
St. Louis Soundtrack,st-louis,"St. Louis, Missouri",10,csv/55-st-louis-soundtrack.csv,spotify-uri-lists/55-st-louis-soundtrack.txt,m3u8/55-st-louis-soundtrack.m3u8
Tampa Soundtrack,tampa,"Tampa, Florida",10,csv/56-tampa-soundtrack.csv,spotify-uri-lists/56-tampa-soundtrack.txt,m3u8/56-tampa-soundtrack.m3u8
Toronto Soundtrack,toronto,"Toronto, Ontario",10,csv/57-toronto-soundtrack.csv,spotify-uri-lists/57-toronto-soundtrack.txt,m3u8/57-toronto-soundtrack.m3u8
Tucson Soundtrack,tucson,"Tucson, Arizona",10,csv/58-tucson-soundtrack.csv,spotify-uri-lists/58-tucson-soundtrack.txt,m3u8/58-tucson-soundtrack.m3u8
Tuscaloosa Soundtrack,tuscaloosa,"Tuscaloosa, Alabama",10,csv/59-tuscaloosa-soundtrack.csv,spotify-uri-lists/59-tuscaloosa-soundtrack.txt,m3u8/59-tuscaloosa-soundtrack.m3u8
"Washington, D.C. Soundtrack",washington-dc,"Washington, D.C.",10,csv/60-washington-d-c-soundtrack.csv,spotify-uri-lists/60-washington-d-c-soundtrack.txt,m3u8/60-washington-d-c-soundtrack.m3u8
Youngstown Soundtrack,youngstown,"Youngstown, Ohio",10,csv/61-youngstown-soundtrack.csv,spotify-uri-lists/61-youngstown-soundtrack.txt,m3u8/61-youngstown-soundtrack.m3u8
