Playlist,Playlist Slug,Position,Title,Artist,Spotify URI,Spotify URL,Spotify Track ID,Explicit
Charlotte Soundtrack,charlotte,10,Rockstar,DaBaby,spotify:track:7ytR5pFWmSjzHJIeQkgog4,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4,7ytR5pFWmSjzHJIeQkgog4,TRUE
Chicago Soundtrack,chicago,1,Go Cubs Go,Steve Goodman,spotify:track:5oTZQTGB0mZoHYWxTj69b7,https://open.spotify.com/track/5oTZQTGB0mZoHYWxTj69b7,5oTZQTGB0mZoHYWxTj69b7,FALSE
Chicago Soundtrack,chicago,2,Na Na Hey Hey Kiss Him Goodbye,Steam,spotify:track:1mrSHPNTDdMkXpR4BiSiD7,https://open.spotify.com/track/1mrSHPNTDdMkXpR4BiSiD7,1mrSHPNTDdMkXpR4BiSiD7,FALSE
Chicago Soundtrack,chicago,3,The Super Bowl Shuffle,The Chicago Bears Shufflin' Crew,spotify:track:2NaPbKk3mIdEaVo0BPyHxn,https://open.spotify.com/track/2NaPbKk3mIdEaVo0BPyHxn,2NaPbKk3mIdEaVo0BPyHxn,FALSE
Chicago Soundtrack,chicago,4,Sirius,The Alan Parsons Project,spotify:track:0hSs4vOZo1OkRiAOoLafrT,https://open.spotify.com/track/0hSs4vOZo1OkRiAOoLafrT,0hSs4vOZo1OkRiAOoLafrT,FALSE
Chicago Soundtrack,chicago,5,Chelsea Dagger,The Fratellis,spotify:track:1bCmvezFg5MRcENzCGG1Cy,https://open.spotify.com/track/1bCmvezFg5MRcENzCGG1Cy,1bCmvezFg5MRcENzCGG1Cy,FALSE
Chicago Soundtrack,chicago,6,My Kind of Town (Chicago Is),Frank Sinatra,spotify:track:4beDjVImBfBTSaFM7dKNEy,https://open.spotify.com/track/4beDjVImBfBTSaFM7dKNEy,4beDjVImBfBTSaFM7dKNEy,FALSE
Chicago Soundtrack,chicago,7,Homecoming,Kanye West,spotify:track:4iz9lGMjU1lXS51oPmUmTe,https://open.spotify.com/track/4iz9lGMjU1lXS51oPmUmTe,4iz9lGMjU1lXS51oPmUmTe,TRUE
Chicago Soundtrack,chicago,8,Sweet Home Chicago,The Blues Brothers,spotify:track:1OJO3vsGqwbIQuLPGeY2Sb,https://open.spotify.com/track/1OJO3vsGqwbIQuLPGeY2Sb,1OJO3vsGqwbIQuLPGeY2Sb,FALSE
Chicago Soundtrack,chicago,9,Saturday in the Park,Chicago,spotify:track:4OJFkrRQqol4FsPesF8eu4,https://open.spotify.com/track/4OJFkrRQqol4FsPesF8eu4,4OJFkrRQqol4FsPesF8eu4,FALSE
Chicago Soundtrack,chicago,10,The Corner,Common,spotify:track:31rk2z6XreitvUgfJURMil,https://open.spotify.com/track/31rk2z6XreitvUgfJURMil,31rk2z6XreitvUgfJURMil,TRUE
Cincinnati Soundtrack,cincinnati,1,Shut Up and Dance,Walk the Moon,spotify:track:4kbj5MwxO1bq9wjT5g9HaA,https://open.spotify.com/track/4kbj5MwxO1bq9wjT5g9HaA,4kbj5MwxO1bq9wjT5g9HaA,FALSE
Cincinnati Soundtrack,cincinnati,2,Bloodbuzz Ohio,The National,spotify:track:5idVbYWHOBsFktyGq9KhkL,https://open.spotify.com/track/5idVbYWHOBsFktyGq9KhkL,5idVbYWHOBsFktyGq9KhkL,FALSE
Cincinnati Soundtrack,cincinnati,3,Welcome to the Jungle,Guns N' Roses,spotify:track:0G21yYKMZoHa30cYVi1iA8,https://open.spotify.com/track/0G21yYKMZoHa30cYVi1iA8,0G21yYKMZoHa30cYVi1iA8,TRUE
Cincinnati Soundtrack,cincinnati,4,I'd Rather Be with You,Bootsy Collins,spotify:track:42rFOQqHmXf9IkdwVqkooK,https://open.spotify.com/track/42rFOQqHmXf9IkdwVqkooK,42rFOQqHmXf9IkdwVqkooK,FALSE
Cincinnati Soundtrack,cincinnati,5,Debonair,The Afghan Whigs,spotify:track:2NGa00eaFm9aMGzn6GkE9z,https://open.spotify.com/track/2NGa00eaFm9aMGzn6GkE9z,2NGa00eaFm9aMGzn6GkE9z,FALSE
Cincinnati Soundtrack,cincinnati,6,All My Favorite People,Over the Rhine,spotify:track:0fn2G5nxIgyV1hIlnCdPBF,https://open.spotify.com/track/0fn2G5nxIgyV1hIlnCdPBF,0fn2G5nxIgyV1hIlnCdPBF,FALSE
Cincinnati Soundtrack,cincinnati,7,Shout,The Isley Brothers,spotify:track:06u2CAJZndymUuruReCYlt,https://open.spotify.com/track/06u2CAJZndymUuruReCYlt,06u2CAJZndymUuruReCYlt,FALSE
Cincinnati Soundtrack,cincinnati,8,"Que Sera, Sera (Whatever Will Be, Will Be)",Doris Day,spotify:track:4Ylqc711Eq763XbTAOABu3,https://open.spotify.com/track/4Ylqc711Eq763XbTAOABu3,4Ylqc711Eq763XbTAOABu3,FALSE
Cincinnati Soundtrack,cincinnati,9,There Is an End,The Greenhornes,spotify:track:7ElMeCWsfj7IkUGcsWxb5K,https://open.spotify.com/track/7ElMeCWsfj7IkUGcsWxb5K,7ElMeCWsfj7IkUGcsWxb5K,FALSE
Cincinnati Soundtrack,cincinnati,10,Oh Lord,Foxy Shazam,spotify:track:5iJU96441eAZ2VdWgxdyJa,https://open.spotify.com/track/5iJU96441eAZ2VdWgxdyJa,5iJU96441eAZ2VdWgxdyJa,TRUE
Cleveland Soundtrack,cleveland,1,Cleveland Rocks,Ian Hunter,spotify:track:42p68rsESQSbYX5AlJ1CDS,https://open.spotify.com/track/42p68rsESQSbYX5AlJ1CDS,42p68rsESQSbYX5AlJ1CDS,FALSE
Cleveland Soundtrack,cleveland,2,Love Train,The O'Jays,spotify:track:28285KFbyCq8sJofn58qlD,https://open.spotify.com/track/28285KFbyCq8sJofn58qlD,28285KFbyCq8sJofn58qlD,FALSE
Cleveland Soundtrack,cleveland,3,Tha Crossroads,Bone Thugs-N-Harmony,spotify:track:5KSJ9k1FYjFLnIRlJT2wF8,https://open.spotify.com/track/5KSJ9k1FYjFLnIRlJT2wF8,5KSJ9k1FYjFLnIRlJT2wF8,TRUE
Cleveland Soundtrack,cleveland,4,Day 'n' Nite,Kid Cudi,spotify:track:5FEXPoPnzueFJQCPRIrC3c,https://open.spotify.com/track/5FEXPoPnzueFJQCPRIrC3c,5FEXPoPnzueFJQCPRIrC3c,FALSE
Cleveland Soundtrack,cleveland,5,Head Like a Hole,Nine Inch Nails,spotify:track:3ckd4YA4LcD3j50rfIVwUe,https://open.spotify.com/track/3ckd4YA4LcD3j50rfIVwUe,3ckd4YA4LcD3j50rfIVwUe,FALSE
Cleveland Soundtrack,cleveland,6,Bad Things,Machine Gun Kelly,spotify:track:1PSBzsahR2AKwLJgx8ehBj,https://open.spotify.com/track/1PSBzsahR2AKwLJgx8ehBj,1PSBzsahR2AKwLJgx8ehBj,FALSE
Cleveland Soundtrack,cleveland,7,Fast Car,Tracy Chapman,spotify:track:2M9ro2krNb7nr7HSprkEgo,https://open.spotify.com/track/2M9ro2krNb7nr7HSprkEgo,2M9ro2krNb7nr7HSprkEgo,FALSE
Cleveland Soundtrack,cleveland,8,Funk #49,The James Gang,spotify:track:5h6SovHOYpIMlAkafxcbq3,https://open.spotify.com/track/5h6SovHOYpIMlAkafxcbq3,5h6SovHOYpIMlAkafxcbq3,FALSE
Cleveland Soundtrack,cleveland,9,My Town,Michael Stanley Band,spotify:track:3zh6c0CVMcBdIdXfN5wDLM,https://open.spotify.com/track/3zh6c0CVMcBdIdXfN5wDLM,3zh6c0CVMcBdIdXfN5wDLM,FALSE
Cleveland Soundtrack,cleveland,10,Lonely Boy,The Black Keys,spotify:track:5G1sTBGbZT5o4PNRc75RKI,https://open.spotify.com/track/5G1sTBGbZT5o4PNRc75RKI,5G1sTBGbZT5o4PNRc75RKI,FALSE
Corpus Christi Soundtrack,corpus-christi,1,Bidi Bidi Bom Bom,Selena,spotify:track:08rj3keDexxAbhXnRM86ri,https://open.spotify.com/track/08rj3keDexxAbhXnRM86ri,08rj3keDexxAbhXnRM86ri,FALSE
